onset	duration	trial_type
0.0228	10.0226	p_startup
10.0621	0.4226	cross
10.5847	1.5226	6_letters_same
12.1073	3.0227	cross
16.6299	1.5226	response
18.1525	1.5226	blank2
19.6917	0.4226	cross
20.2143	1.5226	4_letters_different
21.7369	3.0227	cross
26.2595	1.5226	response
27.7821	2.5226	blank2
30.3213	0.4226	cross
30.8439	1.5226	6_letters_different
32.3665	3.0227	cross
36.8891	1.5226	response
38.4117	1.5226	blank2
39.951	0.4226	cross
40.4736	1.5226	2_letters_different
41.9962	3.0227	cross
46.5188	1.5226	response
48.0413	2.0226	blank2
50.0806	0.4226	cross
50.6032	1.5226	6_letters_different
52.1258	3.0227	cross
56.6484	1.5226	response
58.17100000000001	4.5226	blank2
62.7103	0.4226	cross
63.2329	1.5226	2_letters_different
64.7555	3.0227	cross
69.2781	1.5226	response
70.8006	3.5226	blank2
74.3399	0.4226	cross
74.8625	1.5226	6_letters_same
76.3851	3.0227	cross
80.9077	1.5226	response
82.4303	4.5226	blank2
86.9696	0.4226	cross
87.4922	1.5226	4_letters_same
89.0148	3.0227	cross
93.5374	1.5226	response
95.0599	1.0226	blank2
96.0992	0.4226	cross
96.6218	1.5226	2_letters_different
98.1444	3.0227	cross
102.667	1.5226	response
104.1896	2.0226	blank2
106.2288	0.4226	cross
106.7515	1.5226	4_letters_same
108.2741	3.0227	cross
112.7967	1.5226	response
114.3193	3.0226	blank2
117.3585	0.4263	cross
117.8849	1.5226	4_letters_different
119.4075	3.0227	cross
123.93	1.5226	response
125.4526	4.0226	blank2
129.4919	0.4226	cross
130.0145	1.5226	2_letters_same
131.5371	3.0227	cross
136.0596	1.5226	response
137.5822	1.0226	blank2
138.6214	0.4226	cross
139.144	1.5226	6_letters_different
140.6666	3.0227	cross
145.1892	1.5226	response
146.7118	3.0226	blank2
149.751	0.4226	cross
150.2737	1.5226	6_letters_same
151.7963	3.0227	cross
156.3188	1.5226	response
157.8414	1.5226	blank2
159.3807	0.4226	cross
159.9033	1.5226	6_letters_same
161.4259	3.0227	cross
165.9485	1.5226	response
167.47099999999998	2.0226	blank2
169.5103	0.4226	cross
170.0329	1.5226	2_letters_different
171.5555	3.0227	cross
176.0781	1.5226	response
177.6007	4.0226	blank2
181.64	0.4226	cross
182.1626	1.5226	2_letters_different
183.6852	3.0227	cross
188.2078	1.5226	response
189.7303	1.5226	blank2
191.2696	0.4226	cross
191.7922	1.5226	6_letters_same
193.3148	3.0227	cross
197.8374	1.5226	response
199.3599	2.0226	blank2
201.3992	0.4226	cross
201.9218	1.5226	4_letters_different
203.4444	3.0227	cross
207.967	1.5226	response
209.4896	3.0226	blank2
212.5288	0.4226	cross
213.0515	1.5226	6_letters_same
214.5741	3.0227	cross
219.0966	1.5226	response
220.6192	4.0226	blank2
224.6585	0.4226	cross
225.1811	1.5226	2_letters_different
226.7037	3.0227	cross
231.2263	1.5226	response
232.7489	2.5226	blank2
235.2882	0.4226	cross
235.7941	1.5226	4_letters_same
237.3168	3.0227	cross
241.8394	1.5226	response
243.3619	1.0226	blank2
244.4012	0.4226	cross
244.9238	1.5226	6_letters_different
246.4464	3.0227	cross
250.96900000000002	1.5226	response
252.4916	1.5226	blank2
254.0308	0.4226	cross
254.5534	1.5226	2_letters_same
256.07599999999996	3.0227	cross
260.5986	1.5226	response
262.1212	6.0226	blank2
268.1604	0.4226	cross
268.683	1.5226	4_letters_same
270.2056	3.0227	cross
274.7282	1.5226	response
276.2508	4.0226	blank2
280.29	0.4226	cross
280.8127	1.5226	4_letters_different
282.3352	3.0227	cross
286.8579	1.5226	response
288.3804	1.5226	blank2
289.9197	0.4226	cross
290.4423	1.5226	2_letters_same
291.9649	3.0227	cross
296.4875	1.5226	response
298.01	5.0226	blank2
303.0493	0.4226	cross
303.5719	1.5226	6_letters_different
305.0945	3.0227	cross
309.6171	1.5226	response
311.1397	1.0226	blank2
312.1789	0.4226	cross
312.7015	1.5226	4_letters_same
314.2241	3.0227	cross
318.7467	1.5226	response
320.2693	3.0226	blank2
323.3086	0.4226	cross
323.8312	1.5226	2_letters_same
325.3538	3.0227	cross
329.8764	1.5226	response
331.399	6.0226	blank2
337.4382	0.4226	cross
337.9609	1.5226	2_letters_same
339.4835	3.0227	cross
344.0061	1.5226	response
345.5287	3.0226	blank2
348.5679	0.4226	cross
349.0739	1.5226	2_letters_same
350.5965	3.0227	cross
355.1191	1.5226	response
356.6417	1.5226	blank2
358.1809	0.4226	cross
358.7035	1.5226	4_letters_different
360.2261	3.0227	cross
364.7487	1.5226	response
366.2713	5.5226	blank2
371.8106	0.4226	cross
372.3332	1.5226	4_letters_different
373.8558	3.0227	cross
378.3784	1.5226	response
379.901	4.0226	blank2
383.9402	0.4226	cross
384.4628	1.5226	6_letters_different
385.9854	3.0227	cross
390.50800000000004	1.5226	response
392.0306	4.0226	blank2
396.0699	0.4226	cross
396.5925	1.5226	4_letters_same
398.1151	3.0227	cross
402.6377	1.5226	response
404.1603	1.5226	blank2
