onset	duration	trial_type
1.046	0.2226	unattend
2.2079	0.2226	attend
3.4697	0.2226	unattend
4.7315	0.2226	attend
5.8934	0.2226	attend
7.1552	0.2226	unattend
8.5171	0.2226	attend
9.7789	0.2226	attend
10.9407	0.2226	unattend
12.1026	0.2226	attend
13.3645	0.2226	unattend
14.7263	0.2226	attend
15.9881	0.2226	attend
17.15	0.2226	attend
18.5119	0.2226	attend
19.6737	0.2226	attend
21.0356	0.2226	attend
22.3975	0.2226	unattend
23.5593	0.2226	unattend
24.9211	0.2226	unattend
26.183000000000003	0.2226	attend
27.3449	0.2226	unattend
28.7067	0.2226	unattend
30.0686	0.2226	unattend
31.3304	0.2226	attend
32.4922	0.2226	unattend
33.6541	0.2226	attend
35.016	0.2226	unattend
36.2778	0.2226	unattend
37.6397	0.2226	attend
38.8015	0.2226	unattend
40.0634	0.2226	unattend
41.4253	15.0235	Bfix
56.4488	0.2226	unattend
57.6106	0.2226	attend
58.8725	0.2226	unattend
60.1343	0.2226	attend
61.2963	0.2226	attend
62.6582	0.2226	unattend
64.02	0.2226	attend
65.3819	0.2226	unattend
66.6438	0.2226	unattend
67.9056	0.2226	attend
69.2674	0.2226	attend
70.6292	0.2226	unattend
71.9911	0.2226	attend
73.153	0.2226	unattend
74.4148	0.2226	attend
75.5767	0.2226	attend
76.8385	0.2226	unattend
78.2003	0.2226	unattend
79.4622	0.2226	attend
80.624	0.2226	unattend
81.7858	0.2226	attend
83.1477	0.2226	attend
84.3096	0.2226	unattend
85.6714	0.2226	attend
86.9332	0.2226	attend
88.1951	0.2226	unattend
89.5569	0.2226	attend
90.8188	0.2226	unattend
92.1806	0.2226	attend
93.4425	0.2226	unattend
94.8044	0.2226	attend
96.0663	0.2226	unattend
97.2281	15.0226	Bfix
112.2674	0.2226	unattend
113.4292	0.2226	attend
114.6911	0.2226	unattend
116.0529	0.2226	attend
117.3147	0.2226	unattend
118.4766	0.2226	attend
119.7384	0.2226	attend
121.0002	0.2226	unattend
122.3621	0.2226	attend
123.72399999999999	0.2226	attend
124.9858	0.2226	attend
126.1477	0.2226	attend
127.5095	0.2226	unattend
128.8713	0.2226	attend
130.1332	0.2226	attend
131.2951	0.2226	unattend
132.5569	0.2226	attend
133.7188	0.2226	attend
134.9806	0.2226	unattend
136.1425	0.2226	attend
137.3044	0.2226	attend
138.6662	0.2226	attend
140.0281	0.2226	unattend
141.3899	0.2226	attend
142.6517	0.2226	unattend
144.0136	0.2226	unattend
145.2754	0.2226	attend
146.5373	0.2226	attend
147.8991	0.2226	unattend
149.261	0.2226	attend
150.5228	0.2226	unattend
151.6847	0.2226	unattend
152.9465	15.0232	Bfix
167.9697	0.2226	attend
169.2316	0.2226	attend
170.3934	0.2226	unattend
171.5553	0.2226	attend
172.9171	0.2226	unattend
174.079	0.2226	attend
175.3409	0.2226	unattend
176.5028	0.2226	unattend
177.6646	0.2226	unattend
179.0264	0.2226	attend
180.2884	0.2226	unattend
181.5502	0.2226	attend
182.812	0.2226	unattend
183.9739	0.2226	unattend
185.3358	0.2226	unattend
186.5977	0.2226	attend
187.9595	0.2226	attend
189.2213	0.2226	unattend
190.5832	0.2226	attend
191.845	0.2226	unattend
193.0069	0.2226	attend
194.2687	0.2226	unattend
195.6306	0.2226	attend
196.8924	0.2226	unattend
198.0543	0.2226	unattend
199.4161	0.2226	unattend
200.778	0.2226	attend
202.0398	0.2226	attend
203.3017	0.2226	attend
204.4635	0.2226	unattend
205.7254	0.2226	attend
206.9873	0.2226	unattend
208.2491	15.0235	Bfix
223.2726	0.2226	unattend
224.6344	0.2226	attend
225.7963	0.2226	attend
227.1581	0.2226	attend
228.52	0.2226	unattend
229.6818	0.2226	attend
231.0436	0.2226	unattend
232.4055	0.2226	attend
233.6673	0.2226	attend
235.0292	0.2226	attend
236.1911	0.2226	unattend
237.4529	0.2226	attend
238.8148	0.2226	unattend
240.0766	0.2226	unattend
241.2385	0.2226	attend
242.4004	0.2226	attend
243.7622	0.2226	attend
245.12400000000002	0.2226	unattend
246.3859	0.2226	attend
247.5477	0.2226	unattend
248.9095	0.2226	attend
250.1714	0.2226	unattend
251.3332	0.2226	attend
252.6951	0.2226	attend
253.857	0.2226	unattend
255.2188	0.2226	unattend
256.5807	0.2226	unattend
257.8365	0.2226	attend
259.1983	0.2226	attend
260.3602	0.2226	unattend
261.6221	0.2226	attend
262.98400000000004	0.2226	attend
264.2459	0.2226	unattend
265.5077	0.2226	unattend
266.8696	0.2226	attend
268.1315	7.1378	Bfix
