onset	duration	trial_type
0.715	8	positive_image
2.721	6	object
10.855	8	positive_image
12.858	6	object
20.992	8	negative_image
22.997	6	object
31.143	8	neutral_image
33.148	6	object
41.280	8	neutral_image
43.286	6	object
51.429	8	negative_image
53.434	6	object
61.567	8	positive_image
63.571	6	object
71.717	8	neutral_image
73.721	6	object
81.856	8	negative_image
83.860	6	object
91.994	8	negative_image
93.998	6	object
102.152	8	positive_image
104.157	6	object
112.308	8	neutral_image
114.311	6	object
122.455	8	negative_image
124.460	6	object
132.592	8	positive_image
134.597	6	object
142.722	8	neutral_image
144.726	6	object
152.859	8	positive_image
154.864	6	object
162.995	8	negative_image
164.999	6	object
173.133	8	positive_image
175.138	6	object
183.279	8	negative_image
185.284	6	object
193.418	8	negative_image
195.423	6	object
203.555	8	neutral_image
205.560	6	object
213.684	8	positive_image
215.686	6	object
223.825	8	neutral_image
225.831	6	object
233.957	8	neutral_image
235.962	6	object
244.097	8	neutral_image
246.102	6	object
254.251	8	positive_image
256.255	6	object
264.389	8	negative_image
266.393	6	object
274.519	8	negative_image
276.524	6	object
284.657	8	negative_image
286.661	6	object
294.793	8	negative_image
296.796	6	object
304.934	8	positive_image
306.939	6	object
315.074	8	negative_image
317.077	6	object
325.208	8	neutral_image
327.212	6	object
335.347	8	neutral_image
337.351	6	object
345.484	8	positive_image
347.490	6	object
355.640	8	negative_image
357.645	6	object
365.769	8	positive_image
367.770	6	object
375.904	8	neutral_image
377.909	6	object
386.041	8	positive_image
388.043	6	object
396.165	8	positive_image
398.170	6	object
406.301	8	negative_image
408.307	6	object
416.432	8	positive_image
418.437	6	object
426.570	8	positive_image
428.576	6	object
436.704	8	neutral_image
438.709	6	object
446.843	8	negative_image
448.848	6	object
456.982	8	neutral_image
458.987	6	object
467.120	8	positive_image
469.125	6	object
477.267	8	negative_image
479.272	6	object
487.397	8	negative_image
489.400	6	object
497.533	8	positive_image
499.539	6	object
507.670	8	neutral_image
509.673	6	object
517.822	8	positive_image
519.829	6	object
527.961	8	positive_image
529.967	6	object
538.099	8	positive_image
540.102	6	object
548.235	8	positive_image
550.241	6	object
558.377	8	neutral_image
560.380	6	object
568.515	8	positive_image
570.520	6	object
578.651	8	negative_image
580.654	6	object
588.786	8	neutral_image
590.791	6	object
598.928	8	neutral_image
600.932	6	object
