onset	duration	trial_type
0.01	5.93	experimental
5.94	2.74	pointing_experimental
8.68	2.23	fixation
10.91	6.07	experimental
16.98	2.57	pointing_experimental
19.55	1.46	fixation
21.01	6.66	experimental
27.67	4.6	pointing_experimental
32.27	1.07	fixation
33.34	6.84	experimental
40.18	6.38	pointing_experimental
46.56	1.55	fixation
48.11	6.6	experimental
54.71	3.05	pointing_experimental
57.76	1.96	fixation
59.72	6.34	experimental
66.06	6.49	pointing_experimental
72.55	2.89	fixation
75.44	5.92	experimental
81.36	0.47	pointing_experimental
81.83	3.8	fixation
85.63	6.26	experimental
91.89	4.24	pointing_experimental
96.13	3.05	fixation
99.18	6.53	control
105.71	1.57	pointing_control
107.28	1.5	fixation
108.78	5.99	control
114.77	3.35	pointing_control
118.12	4.77	fixation
122.89	5.99	control
128.88	3.66	pointing_control
132.54	2.31	fixation
134.85	6.72	control
141.57	3.55	pointing_control
145.12	160.48	fixation
